,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
119,XINANR,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANR1,#XINANR,$XINANR
120,XINANS,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANS9,#XINANS,$XINANS
121,XINANT,ANNA UNQUOTED ISIN'S,ORDINARY FULLY PAID,AU000XINANT7,#XINANT,$XINANT
122,AWV,ANOVA METALS LTD,ORDINARY FULLY PAID,AU000000AWV3,#AWV,$AWV
123,AND,ANSARADA GROUP LTD,ORDINARY FULLY PAID,AU0000124422,#AND,$AND
124,ANN,ANSELL LIMITED,ORDINARY FULLY PAID,AU000000ANN9,#ANN,$ANN
125,ASN,ANSON RESOURCES LTD,ORDINARY FULLY PAID,AU000000ASN8,#ASN,$ASN
126,ADO,ANTEOTECH LTD,ORDINARY FULLY PAID,AU000000ADO8,#ADO,$ADO
127,AVR,ANTERIS TECHNOLOGIES,ORDINARY FULLY PAID,AU0000088841,#AVR,$AVR
128,AAU,ANTILLES GOLD LTD,ORDINARY FULLY PAID,AU0000115172,#AAU,$AAU
129,AZY,ANTIPA MINERALS LTD,ORDINARY FULLY PAID,AU000000AZY0,#AZY,$AZY
130,APL,ANTIPODES GLOBAL INV,ORDINARY FULLY PAID,AU000000APL8,#APL,$APL
131,ANP,ANTISENSE THERAPEUT.,ORDINARY FULLY PAID,AU000000ANP4,#ANP,$ANP
132,ANZ,ANZ BANKING GRP LTD,ORDINARY FULLY PAID,AU000000ANZ3,#ANZ,$ANZ
133,AHX,APIAM ANIMAL HEALTH,ORDINARY FULLY PAID,AU000000AHX0,#AHX,$AHX
134,AOP,APOLLO CONSOLIDATED,ORDINARY FULLY PAID,AU000000AOP2,#AOP,$AOP
135,AON,APOLLO MINERALS LTD,ORDINARY FULLY PAID,AU000000AON7,#AON,$AON
136,ATL,APOLLO TOURISM,ORDINARY FULLY PAID,AU000000ATL0,#ATL,$ATL
137,APX,APPEN LIMITED,ORDINARY FULLY PAID,AU000000APX3,#APX,$APX
138,AFW,APPLYFLOW LIMITED,ORDINARY FULLY PAID,AU0000118135,#AFW,$AFW
139,APV,APPSVILL,ORDINARY FULLY PAID,AU0000050064,#APV,$APV
140,AQN,AQUIRIANLIMITED,ORDINARY FULLY PAID,AU0000158537,#AQN,$AQN
141,AQS,AQUIS ENT LTD,ORDINARY FULLY PAID,AU000000AQS1,#AQS,$AQS
142,ARU,ARAFURA RESOURCE LTD,ORDINARY FULLY PAID,AU000000ARU5,#ARU,$ARU
143,ARB,ARB CORPORATION.,ORDINARY FULLY PAID,AU000000ARB5,#ARB,$ARB
144,ARC,ARC FUNDS LIMITED,ORDINARY FULLY PAID,AU000000ARC3,#ARC,$ARC
145,AXE,ARCHER MATERIALS,ORDINARY FULLY PAID,AU000000AXE7,#AXE,$AXE
146,AR9,ARCHTIS LIMITED,ORDINARY FULLY PAID,AU0000020877,#AR9,$AR9
147,ARL,ARDEA RESOURCES LTD,ORDINARY FULLY PAID,AU000000ARL4,#ARL,$ARL
148,ALG,ARDENTLEISUREGRPLTD,ORDINARY FULLY PAID,AU0000027484,#ALG,$ALG
149,ADV,ARDIDEN LTD,ORDINARY FULLY PAID,AU000000ADV3,#ADV,$ADV
150,AGN,ARGENICA,ORDINARY FULLY PAID,AU0000150328,#AGN,$AGN
151,ARD,ARGENT MINERALS,ORDINARY FULLY PAID,AU000000ARD1,#ARD,$ARD
152,AXT,ARGO EXPLORATION,ORDINARY FULLY PAID,AU000000AXT5,#AXT,$AXT
153,ALI,ARGO GLOBAL LTD,ORDINARY FULLY PAID,AU000000ALI3,#ALI,$ALI
154,ARG,ARGO INVESTMENTS,ORDINARY FULLY PAID,AU000000ARG4,#ARG,$ARG
155,ARE,ARGONAUT RESOURCES,ORDINARY FULLY PAID,AU000000ARE9,#ARE,$ARE
156,AGY,ARGOSY MINERALS LTD,ORDINARY FULLY PAID,AU000000AGY0,#AGY,$AGY
157,ARA,ARIADNE AUSTRALIA,ORDINARY FULLY PAID,AU000000ARA7,#ARA,$ARA
158,ALL,ARISTOCRAT LEISURE,ORDINARY FULLY PAID,AU000000ALL7,#ALL,$ALL
159,AZL,ARIZONA LITHIUM LTD,ORDINARY FULLY PAID,AU0000179640,#AZL,$AZL
160,AHK,ARK MINES LIMITED,ORDINARY FULLY PAID,AU000000AHK7,#AHK,$AHK
161,AJQ,ARMOUR ENERGY LTD,ORDINARY FULLY PAID,AU000000AJQ0,#AJQ,$AJQ
162,ARX,AROA BIOSURGERY,ORDINARY FULLY PAID,AU0000094146,#ARX,$ARX
163,ALA,AROVELLA THERAPEUTIC,ORDINARY FULLY PAID,AU0000182784,#ALA,$ALA
164,AMD,ARROW MINERALS,ORDINARY FULLY PAID,AU000000AMD2,#AMD,$AMD
165,ARV,ARTEMIS RESOURCES,ORDINARY FULLY PAID,AU000000ARV3,#ARV,$ARV
166,AYA,ARTRYALIMITED,ORDINARY FULLY PAID,AU0000182412,#AYA,$AYA
167,AAJ,ARUMA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AAJ4,#AAJ,$AAJ
168,AFA,ASF GROUP LIMITED,ORDINARY FULLY PAID,AU000000AFA2,#AFA,$AFA
169,ASH,ASHLEY SERVICES GRP,ORDINARY FULLY PAID,AU000000ASH0,#ASH,$ASH
170,AJJ,ASIAN AMER MEDICAL,ORDINARY FULLY PAID,AU000000AJJ5,#AJJ,$AJJ
171,AS2,ASKARIMETALSLIMITED,ORDINARY FULLY PAID,AU0000153256,#AS2,$AS2
172,ASP,ASPERMONT LIMITED.,ORDINARY FULLY PAID,AU000000ASP3,#ASP,$ASP
173,AKM,ASPIRE MINING LTD,ORDINARY FULLY PAID,AU000000AKM7,#AKM,$AKM
174,AO1,ASSETOWL LIMITED,ORDINARY FULLY PAID,AU000000AO10,#AO1,$AO1
175,AIR,ASTIVITA LTD,ORDINARY FULLY PAID,AU000000AIR0,#AIR,$AIR
176,ASO,ASTON MINERALS LTD,ORDINARY FULLY PAID,AU0000128787,#ASO,$ASO
177,ARO,ASTRO RESOURCES NL,ORDINARY FULLY PAID,AU000000ARO8,#ARO,$ARO
178,ASX,ASX LIMITED,ORDINARY FULLY PAID,AU000000ASX7,#ASX,$ASX
179,AHN,ATHENA RESOURCES,ORDINARY FULLY PAID,AU000000AHN1,#AHN,$AHN
180,ATP,ATLAS PEARLS LTD,ORDINARY FULLY PAID,AU000000ATP1,#ATP,$ATP
181,AT1,ATOMO DIAGNOSTICS,ORDINARY FULLY PAID,AU0000080327,#AT1,$AT1
182,AMS,ATOMOS,ORDINARY FULLY PAID,AU0000033870,#AMS,$AMS
183,ATU,ATRUM COAL LTD,ORDINARY FULLY PAID,AU000000ATU1,#ATU,$ATU
184,ACL,AU CLINICAL LABS,ORDINARY FULLY PAID,AU0000148496,#ACL,$ACL
185,AUB,AUB GROUP LTD,ORDINARY FULLY PAID,AU000000AUB9,#AUB,$AUB
186,AVC,AUCTUS INVEST GRP,ORDINARY FULLY PAID,AU0000005274,#AVC,$AVC
187,ACP,AUDALIA RES LTD,ORDINARY FULLY PAID,AU000000ACP7,#ACP,$ACP
188,AUA,AUDEARA,ORDINARY FULLY PAID,AU0000145807,#AUA,$AUA
189,AD8,AUDINATEGROUPLTD,ORDINARY FULLY PAID,AU000000AD88,#AD8,$AD8
190,AKP,AUDIO PIXELS LTD,ORDINARY FULLY PAID,AU000000AKP0,#AKP,$AKP
191,AKN,AUKING MINING LTD,ORDINARY FULLY PAID,AU000000AKN5,#AKN,$AKN
192,AUK,AUMAKE LIMITED.,ORDINARY FULLY PAID,AU0000123432,#AUK,$AUK
193,AEE,AURA ENERGY,ORDINARY FULLY PAID,AU000000AEE7,#AEE,$AEE
194,AMI,AURELIA METALS LTD,ORDINARY FULLY PAID,AU000000AMI1,#AMI,$AMI
195,AWJ,AURIC MINING,ORDINARY FULLY PAID,AU0000121113,#AWJ,$AWJ
